InstructorID,FirstName,LastName,Age,Location,Gender,Phone,Salary,HiringDate,WorkingStatus
144,Nada,Ali,30,Monufia,Female,8138716008,25137,30/01/2023,Onsite
21,Bassam,Farid,38,Asyut,Female,5859415919,13254,07/11/2015,Remote
111,Mustafa,Ashraf,48,Sohag,Male,9419163137,25405,20/11/2014,Remote
30,Dalal,Soliman,26,Aswan,Female,3655338463,15081,08/12/2015,Onsite
175,Faisal,Mahmoud,34,Beheira,Male,2026496026,12128,26/08/2014,Remote
121,Ghada,Khattab,44,Luxor,Female,3315636536,21244,26/12/2016,Remote
65,Ali,Moustafa,39,Beheira,Female,4421729375,29633,05/09/2022,Remote
57,Layal,Soliman,50,Qalyubia,Male,3801715171,28805,03/11/2013,Onsite
183,Hasan,Abdel Nasser,44,Faiyum,Male,5167920478,25580,16/10/2023,Remote
209,Omar,Samir,29,Port Said,Male,6344330670,20114,10/12/2011,Onsite
157,Shaima,Salah,38,New Valley (Al-Wadi Al-Gadid),Male,4872607007,25166,04/11/2011,Remote
102,Jibril,Khalaf,37,Qena,Female,4433320368,21782,11/04/2016,Onsite
158,Nada,Karam,24,Gharbia,Female,3642978981,28879,04/02/2019,Remote
142,Karim,Mohamed,37,Sharqia,Female,1694860631,10615,19/01/2011,Remote
36,Farid,Fathi,42,Beni Suef,Female,5573343759,26443,14/03/2022,Onsite
112,Tarik,Abdel Nasser,40,Minya,Male,5951690970,27642,04/02/2021,Onsite
102,Saida,Gaber,49,Sohag,Male,9976313434,28272,29/01/2010,Onsite
27,Leila,Qassem,37,New Valley (Al-Wadi Al-Gadid),Female,9028518099,19246,06/11/2022,Onsite
62,Layla,Omar,28,Matrouh,Female,2142032763,17241,01/11/2010,Onsite
151,Ziad,Omar,30,Matrouh,Male,5288755212,21242,25/05/2019,Onsite
38,Layal,Hafez,37,Dakahlia,Female,3058394183,29827,10/05/2011,Remote
92,Wael,Mansour,28,Qalyubia,Female,2399335405,18453,20/12/2022,Remote
36,Sameh,Lotfi,25,Alexandria,Female,6307237879,25341,16/02/2013,Onsite
23,Nadine,Anwar,46,Red Sea,Female,6064919520,20133,24/08/2013,Onsite
198,Aisha,Mostafa,34,South Sinai,Female,9184705214,16102,06/12/2017,Onsite
61,Nadia,Abdel Nasser,44,Luxor,Male,3585807625,25355,17/05/2022,Onsite
186,Layal,Lotfi,28,Sharqia,Male,1549656162,19916,11/10/2016,Remote
58,Hossam,Salah,31,Damietta,Female,6788609471,26482,22/07/2020,Onsite
49,Bader,Farag,24,Ismailia,Female,3951936024,24642,09/02/2010,Onsite
205,Mariam,Khattab,33,Qalyubia,Male,5674404592,12202,11/09/2013,Onsite
66,Layla,Samir,28,Alexandria,Female,5304482697,17081,11/12/2014,Onsite
181,Sirine,Serry,25,Faiyum,Male,7523072043,19293,03/07/2014,Remote
31,Salma,Helmy,35,Aswan,Male,6929822900,12478,29/10/2017,Onsite
68,Dalal,Sabry,31,Cairo,Female,7788399663,17555,11/10/2020,Onsite
90,Hana,Farid,41,Ismailia,Female,1566542873,26683,06/09/2023,Remote
28,Afaf,Fathi,47,Port Said,Male,4113096994,19837,11/01/2013,Onsite
45,Noura,Naguib,43,Luxor,Female,4919901479,24618,15/11/2020,Remote
181,Layal,Abdel Hakim,26,Suez,Female,4305883516,24599,02/09/2018,Remote
205,Ziad,Anwar,50,Qalyubia,Male,2735939206,25545,11/10/2018,Onsite
55,Samir,Osman,49,South Sinai,Male,5735040407,15884,25/11/2019,Onsite
177,Asma,Gomaa,42,New Valley (Al-Wadi Al-Gadid),Female,7767508910,22084,04/03/2022,Remote
138,Saif,Abdel Hakim,35,Cairo,Male,3923992640,26117,01/04/2010,Remote
92,Zuhair,Ali,41,South Sinai,Male,8549375734,10420,25/12/2018,Onsite
73,Wael,Mahmoud,42,Sohag,Male,8238727297,29338,28/04/2019,Remote
110,Wafa,Marzouk,47,Sharqia,Female,1267399419,12107,18/01/2013,Remote
71,Mayada,Makram,24,North Sinai,Female,6667001758,26290,10/09/2015,Onsite
155,Nabil,Sharif,31,Qalyubia,Male,6407227102,20679,08/02/2023,Hybrid
87,Adel,Mansour,41,Qalyubia,Female,6502993466,29561,04/08/2021,Remote
102,Layal,Abdel Nasser,29,Asyut,Male,7242846738,19865,19/10/2015,Onsite
100,Hasan,Soliman,30,Suez,Female,8178460529,11288,07/03/2018,Remote
45,Dalia,Metwally,41,Port Said,Female,9585728514,17759,08/05/2023,Remote
44,Amal,Gad,35,Aswan,Female,1106162383,13765,09/10/2015,Onsite
134,Munir,Naguib,45,Cairo,Female,5142611022,26893,06/01/2015,Remote
166,Farid,Mokhtar,25,Qena,Male,4221873473,18789,22/02/2019,Onsite
70,Zeinab,Qassem,27,Gharbia,Female,2658200383,27214,03/06/2013,Remote
92,Zeinab,Khalaf,27,Monufia,Female,1707919437,17636,12/07/2016,Onsite
78,Imran,Zaki,41,Red Sea,Female,5758106709,14184,10/05/2023,Onsite
166,Wafa,Nassar,46,South Sinai,Female,2104674455,26013,12/02/2023,Onsite
158,Hasan,Abdel Hakim,37,North Sinai,Male,1692340809,10812,12/05/2019,Onsite
70,Adel,Hashem,23,Sohag,Male,9891029502,14701,31/10/2012,Onsite
16,Zuhair,Mahmoud,41,New Valley (Al-Wadi Al-Gadid),Male,9359011511,18242,02/06/2019,Onsite
132,Riyad,Osman,36,Beni Suef,Female,2266222630,23755,03/10/2011,Onsite
157,Mahmoud,Rizk,23,Sohag,Male,5395010252,22387,18/10/2020,Onsite
81,Hossam,Omar,46,Kafr El Sheikh,Female,3077797264,19013,12/10/2011,Onsite
47,Mariam,Serry,29,Qena,Female,5393593692,23377,01/09/2015,Remote
10,Sana,Haggag,45,Alexandria,Male,9324705993,26089,23/11/2020,Remote
157,Aisha,Abdel Nasser,47,Qalyubia,Male,3198099449,15986,09/12/2019,Remote
148,Noura,Sharif,37,New Valley (Al-Wadi Al-Gadid),Male,5007034390,25053,11/10/2013,Remote
165,Sameh,Fathi,28,New Valley (Al-Wadi Al-Gadid),Male,8319231389,19569,22/03/2016,Onsite
98,Wafa,Helmy,42,Beni Suef,Female,5277035453,18731,21/01/2017,Remote
27,Fatima,Hashem,28,South Sinai,Female,7784387393,20362,15/11/2011,Onsite
58,Hamza,Ashraf,41,Gharbia,Female,5203395494,16635,17/11/2012,Onsite
89,Adel,Lotfi,32,Alexandria,Female,2973641150,20156,30/11/2010,Onsite
87,Kamal,Fathi,47,Qena,Female,2346975526,25670,02/10/2012,Onsite
161,Noor,Gad,46,Giza,Male,2592298632,11650,03/03/2011,Remote
40,Ahmed,Haggag,32,New Valley (Al-Wadi Al-Gadid),Female,4572587880,15686,01/02/2017,Onsite
68,Faten,Abou El Fadl,25,Faiyum,Male,5343292678,21927,04/12/2015,Onsite
13,Hanan,Saad,39,Qalyubia,Female,9941101680,24343,05/02/2014,Onsite
55,Bushra,Serry,23,Asyut,Female,7915143678,19755,09/11/2018,Onsite
152,Majid,Lotfi,46,Ismailia,Male,4082448880,22767,25/05/2011,Remote
182,Sabah,Saad,31,Monufia,Female,7475182447,25449,13/05/2018,Onsite
53,Salah,Salah,42,Dakahlia,Female,2521469333,14503,01/09/2012,Remote
183,Zaki,Abou El Fadl,44,Faiyum,Female,9459366834,27561,23/06/2018,Onsite
127,Hanan,Abdel Hakim,40,Qalyubia,Female,4611001026,25572,17/01/2011,Remote
141,Hadi,Qassem,43,Sohag,Male,3634987757,22232,02/04/2023,Onsite
31,Karim,Sharif,42,Luxor,Female,7872904607,16442,14/07/2021,Hybrid
120,Ghada,Mokhtar,27,New Valley (Al-Wadi Al-Gadid),Male,2875147889,26059,13/07/2010,Onsite
188,Yasmin,Abdel Aziz,42,Gharbia,Female,6574998063,26207,07/12/2017,Remote
62,Ali,Awad,34,Luxor,Female,4839646030,15667,28/08/2022,Remote
164,Mahmoud,Khalaf,25,Kafr El Sheikh,Female,4247365390,21149,09/06/2010,Onsite
142,Ahmed,Gad,28,New Valley (Al-Wadi Al-Gadid),Male,3294821877,21481,06/07/2017,Onsite
149,Riyad,Abou El Fadl,31,Suez,Female,6857057320,24265,25/11/2018,Remote
159,Hisham,Amin,44,Matrouh,Male,2884840787,17656,23/09/2015,Onsite
182,Fatima,Salah,33,Matrouh,Male,3666018544,20732,01/11/2023,Remote
196,Mona,Gad,38,Ismailia,Male,4317497103,16118,24/04/2020,Onsite
63,Bushra,Hafez,24,Cairo,Male,8895913589,22079,13/01/2022,Onsite
136,Kareem,Nassar,26,New Valley (Al-Wadi Al-Gadid),Male,9679908350,26646,23/11/2014,Remote
166,Tariq,Sharif,39,Sharqia,Male,4621601748,25626,08/08/2018,Remote
24,Salma,Sharif,35,Asyut,Male,9909948193,26193,27/06/2021,Onsite
205,Rafiq,Hanafi,28,Cairo,Female,7747940061,25953,06/04/2023,Onsite
67,Khalid,Fahmy,46,New Valley (Al-Wadi Al-Gadid),Male,5386944451,19602,11/01/2013,Remote
185,Qasim,Khalaf,29,New Valley (Al-Wadi Al-Gadid),Male,9636654038,16951,16/12/2020,Remote
127,Imran,Fahmy,34,Minya,Female,9218190852,19084,11/09/2017,Onsite
34,Rana,Ali,31,Qalyubia,Female,4878114398,11676,13/03/2022,Onsite
163,Saida,Hafez,40,Kafr El Sheikh,Female,4026469793,13551,24/06/2016,Onsite
153,Rafat,Farid,47,Kafr El Sheikh,Male,3297650465,23756,24/07/2022,Onsite
24,Nizar,Hafez,33,South Sinai,Male,2151023656,10113,06/07/2019,Onsite
28,Hanan,Ibrahim,38,New Valley (Al-Wadi Al-Gadid),Female,6878011518,24470,01/12/2021,Onsite
46,Tariq,Hussein,45,Qalyubia,Female,5518639273,21157,04/08/2015,Remote
195,Khalid,Haggag,32,Beheira,Male,4642644657,27858,13/11/2021,Remote
37,Lina,Hamdi,49,New Valley (Al-Wadi Al-Gadid),Female,3079131077,21064,10/05/2016,Onsite
56,Hadi,Karam,41,New Valley (Al-Wadi Al-Gadid),Male,3032614584,29495,15/10/2014,Remote
157,Faisal,Helmy,50,Minya,Male,1257674413,17490,26/08/2022,Onsite
46,Faten,Moustafa,42,New Valley (Al-Wadi Al-Gadid),Female,4749236340,20481,29/03/2018,Remote
130,Tarik,Lotfi,33,Beni Suef,Female,8925594750,12181,21/02/2019,Onsite
16,Samira,Sabry,25,Faiyum,Female,7003147866,19121,26/06/2011,Remote
130,Hasan,Hanafi,23,North Sinai,Male,7227628105,26447,11/09/2019,Onsite
95,Bader,Sabry,32,Port Said,Female,8032852135,11240,07/05/2023,Onsite
91,Rashid,Abdel Nasser,35,Port Said,Female,7251436860,23766,22/09/2013,Remote
164,Jibril,Khattab,48,Alexandria,Female,1516729592,11508,07/09/2021,Onsite
82,Nada,Omar,49,New Valley (Al-Wadi Al-Gadid),Female,1502136079,16845,20/01/2022,Remote
99,Aisha,Mostafa,44,New Valley (Al-Wadi Al-Gadid),Male,4501408753,21933,25/12/2019,Remote
207,Kareem,Badawi,39,Asyut,Female,6481872317,21323,14/10/2022,Onsite
139,Zuhair,Khattab,43,New Valley (Al-Wadi Al-Gadid),Female,9043387221,11082,14/06/2020,Onsite
204,Farida,Haggag,33,Alexandria,Female,2546958479,16521,07/07/2022,Onsite
129,Hanan,Ibrahim,27,Sohag,Male,7193055292,20491,29/03/2011,Remote
134,Hadi,Haggag,36,Beni Suef,Female,3955781820,28980,26/04/2017,Onsite
112,Karim,Nassar,29,North Sinai,Male,2035361966,12194,20/04/2021,Onsite
22,Rasha,Metwally,45,Suez,Male,9075205291,26573,26/05/2019,Remote
82,Riyad,Saad,33,Monufia,Male,3909492145,13359,24/06/2018,Remote
134,Ghada,Ibrahim,26,North Sinai,Female,6231001332,12456,08/11/2019,Remote
31,Wafa,Saad,25,Gharbia,Female,5812337696,18014,13/09/2017,Onsite
37,Mahmoud,Moustafa,44,Qalyubia,Male,6038265788,13442,08/03/2023,Remote
82,Faten,Marzouk,46,Aswan,Male,5266305055,25949,23/01/2013,Onsite
161,Majid,Gomaa,37,Beni Suef,Male,3776405629,14139,22/06/2010,Onsite
154,Asma,Makram,48,Beheira,Male,4265744526,11153,21/12/2015,Onsite
72,Imran,Hashem,26,Monufia,Male,8827416544,21138,21/12/2015,Onsite
113,Bader,Hafez,40,Beni Suef,Female,7004483415,17072,23/08/2018,Onsite
185,Fatima,Khalaf,33,Asyut,Male,5153099098,10988,30/10/2023,Onsite
115,Asma,El Masry,26,Giza,Female,2201033752,27719,24/07/2017,Onsite
56,Nadia,Nassar,34,Alexandria,Male,6924006889,11660,05/08/2021,Onsite
145,Fadia,Qassem,50,New Valley (Al-Wadi Al-Gadid),Female,5222660971,14898,21/01/2023,Remote
10,Luay,Omar,48,New Valley (Al-Wadi Al-Gadid),Male,7008264665,14452,17/09/2018,Onsite
176,Amal,Omar,30,New Valley (Al-Wadi Al-Gadid),Female,3729647706,21361,11/02/2023,Onsite
87,Wael,Ashraf,38,Matrouh,Female,7794670847,15773,13/09/2012,Onsite
45,Layal,Karam,46,New Valley (Al-Wadi Al-Gadid),Female,1479065628,17070,26/09/2023,Onsite
13,Rasha,Hamdi,48,New Valley (Al-Wadi Al-Gadid),Female,5063240183,17176,08/05/2017,Onsite
51,Samir,Abdel Nasser,44,Kafr El Sheikh,Male,9797959549,25746,19/11/2012,Onsite
100,Mayada,Salah,24,New Valley (Al-Wadi Al-Gadid),Female,2502640855,25895,12/11/2018,Remote
198,Yasmin,Qassem,45,Sharqia,Female,1129325445,28154,25/05/2022,Remote
141,Rana,Mansour,26,New Valley (Al-Wadi Al-Gadid),Female,7623417683,13133,28/10/2018,Onsite
89,Anwar,Rizk,36,Sharqia,Female,7157281331,10995,11/01/2017,Remote
122,Wael,Farag,42,Kafr El Sheikh,Male,9818028533,20241,05/10/2023,Remote
99,Ali,Osman,29,Ismailia,Male,5545714472,21757,12/10/2011,Remote
95,Mahmoud,Badawi,38,Port Said,Female,1676899380,28626,19/05/2021,Onsite
44,Bassam,Hamdi,23,Dakahlia,Female,8049833938,15695,27/09/2011,Onsite
170,Tariq,Abou El Fadl,44,Suez,Female,6485650782,23386,03/08/2019,Onsite
162,Qasim,Mansour,44,Kafr El Sheikh,Male,1247269712,27671,06/09/2020,Onsite
158,Saida,Nassar,40,New Valley (Al-Wadi Al-Gadid),Male,5364728088,11550,05/07/2015,Onsite
66,Jibril,Karam,48,Cairo,Male,7963774847,25944,12/01/2012,Remote
71,Layal,Marzouk,25,Aswan,Male,1342903913,12367,31/01/2011,Onsite
69,Idris,Mohamed,31,South Sinai,Male,2899732456,12167,28/03/2010,Remote
89,Ali,Saad,31,Dakahlia,Female,6084823321,17678,19/08/2015,Onsite
99,Noor,Ashraf,37,New Valley (Al-Wadi Al-Gadid),Male,6784610067,13637,24/04/2010,Onsite
66,Shaza,Mokhtar,26,Port Said,Male,4113101534,10040,07/04/2013,Onsite
53,Tarik,Marzouk,39,Faiyum,Male,8059180223,14526,07/09/2023,Onsite
53,Imran,Osman,42,Giza,Male,1232795272,13414,03/01/2020,Onsite
46,Shaima,Ibrahim,43,Cairo,Male,6505708605,11634,09/02/2015,Remote
105,Sana,Helmy,35,Qalyubia,Male,1504161286,15845,09/09/2020,Onsite
205,Majid,Ali,42,Suez,Female,2499064610,25882,06/03/2010,Onsite
16,Zuhair,Sabry,40,Qena,Female,6079573050,27530,21/08/2018,Hybrid
58,Jamal,Hanafi,36,Qena,Female,5091771578,12709,10/02/2020,Onsite
